DATE,TICKER,RET,EuropePresence,PostGDPR,Interaction
05/08/2016,PRGS,0.015009,1,1,1
08/08/2016,PRGS,-0.01685,1,1,1
09/08/2016,PRGS,0.005247,1,1,1
10/08/2016,PRGS,0.004871,1,1,1
11/08/2016,PRGS,-0.005194,1,1,1
12/08/2016,PRGS,-0.002785,1,1,1
15/08/2016,PRGS,0.014311,1,1,1
16/08/2016,PRGS,-0.012044,1,1,1
17/08/2016,PRGS,-0.003831,1,1,1
18/08/2016,PRGS,0.017133,1,1,1
19/08/2016,PRGS,-0.006531,1,1,1
22/08/2016,PRGS,-0.00692,1,1,1
23/08/2016,PRGS,0.00453,1,1,1
24/08/2016,PRGS,-0.007284,1,1,1
25/08/2016,PRGS,0.009084,1,1,1
26/08/2016,PRGS,0.004501,1,1,1
29/08/2016,PRGS,0.001724,1,1,1
30/08/2016,PRGS,-0.003441,1,1,1
31/08/2016,PRGS,0.001727,1,1,1
01/09/2016,PRGS,0.011375,1,1,1
02/09/2016,PRGS,0.008862,1,1,1
06/09/2016,PRGS,-0.003041,1,1,1
07/09/2016,PRGS,0.009149,1,1,1
08/09/2016,PRGS,-0.011081,1,1,1
09/09/2016,PRGS,-0.037012,1,1,1
12/09/2016,PRGS,0.017278,1,1,1
13/09/2016,PRGS,-0.040208,1,1,1
14/09/2016,PRGS,-0.017696,1,1,1
15/09/2016,PRGS,0.010294,1,1,1
16/09/2016,PRGS,-0.016739,1,1,1
19/09/2016,PRGS,0.008512,1,1,1
20/09/2016,PRGS,-0.000734,1,1,1
21/09/2016,PRGS,0.01065,1,1,1
22/09/2016,PRGS,0.022892,1,1,1
23/09/2016,PRGS,0,1,1,1
26/09/2016,PRGS,-0.01421,1,1,1
27/09/2016,PRGS,0.007207,1,1,1
28/09/2016,PRGS,0.0161,1,1,1
29/09/2016,PRGS,-0.041901,1,1,1
30/09/2016,PRGS,-0.000367,1,1,1
03/10/2016,PRGS,0.012132,1,1,1
04/10/2016,PRGS,0.015256,1,1,1
05/10/2016,PRGS,-0.001789,1,1,1
06/10/2016,PRGS,-0.001792,1,1,1
07/10/2016,PRGS,-0.018671,1,1,1
10/10/2016,PRGS,0.013538,1,1,1
11/10/2016,PRGS,-0.011913,1,1,1
12/10/2016,PRGS,0.002558,1,1,1
13/10/2016,PRGS,-0.015306,1,1,1
14/10/2016,PRGS,0.002591,1,1,1
17/10/2016,PRGS,0.000738,1,1,1
18/10/2016,PRGS,-0.005533,1,1,1
19/10/2016,PRGS,0.013724,1,1,1
20/10/2016,PRGS,-0.012806,1,1,1
21/10/2016,PRGS,0.004077,1,1,1
24/10/2016,PRGS,0.009598,1,1,1
25/10/2016,PRGS,-0.000366,1,1,1
26/10/2016,PRGS,-0.021946,1,1,1
27/10/2016,PRGS,-0.005236,1,1,1
28/10/2016,PRGS,0.003383,1,1,1
31/10/2016,PRGS,0.008243,1,1,1
01/11/2016,PRGS,-0.012635,1,1,1
02/11/2016,PRGS,-0.011667,1,1,1
03/11/2016,PRGS,0.001523,1,1,1
04/11/2016,PRGS,0.002281,1,1,1
07/11/2016,PRGS,0.026555,1,1,1
08/11/2016,PRGS,-0.00037,1,1,1
09/11/2016,PRGS,0.028836,1,1,1
10/11/2016,PRGS,-0.007546,1,1,1
11/11/2016,PRGS,0.049964,1,1,1
14/11/2016,PRGS,-0.007586,1,1,1
15/11/2016,PRGS,0.005212,1,1,1
16/11/2016,PRGS,0.02074,1,1,1
17/11/2016,PRGS,0.00508,1,1,1
18/11/2016,PRGS,0.003369,1,1,1
21/11/2016,PRGS,0.003694,1,1,1
22/11/2016,PRGS,0.011375,1,1,1
23/11/2016,PRGS,-0.014886,1,1,1
25/11/2016,PRGS,0,1,1,1
28/11/2016,PRGS,-0.001007,1,1,1
29/11/2016,PRGS,0.007899,1,1,1
30/11/2016,PRGS,-0.009712,1,1,1
01/12/2016,PRGS,-0.008116,1,1,1
02/12/2016,PRGS,-0.019434,1,1,1
05/12/2016,PRGS,0.031641,1,1,1
06/12/2016,PRGS,0.011122,1,1,1
07/12/2016,PRGS,0.014667,1,1,1
08/12/2016,PRGS,0.027924,1,1,1
09/12/2016,PRGS,0.008949,1,1,1
12/12/2016,PRGS,-0.005385,1,1,1
13/12/2016,PRGS,-0.000637,1,1,1
14/12/2016,PRGS,-0.000319,1,1,1
